ano_de_exercicio;unidade_orcamentaria_codigo;unidade_orcamentaria_nome;fonte_recurso_codigo;fonte_recurso_descricao;classificacao_receita_formatado;origem_receita_codigo;origem_receita_descricao;categoria_receita_codigo;categoria_receita_descricao;especie_receita_codigo;especie_receita_descricao;tipo_receita_codigo;tipo_receita_descricao;item_receita_codigo;item_receita_descricao;subitem_receita_codigo;subitem_receita_descricao;nivel_1_desdobramento_codigo;nivel_1_desdobramento_descricao;nivel_2_desdobramento_codigo;nivel_2_desdobramento_descricao;nivel_3_desdobramento_codigo;nivel_3_desdobramento_descricao;valor_previsto_inicial;valor_previsto_atualizado;valor_contabilizado
2022;1011;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;1321.00.1.1.01.000;3;RECEITA PATRIMONIAL;1;RECEITAS CORRENTES;2;VALORES MOBILIARIOS;1;REMUNERACAO DE DEPOSITOS BANCARIOS - PRINCIPAL;1;REMUNERACAO DE DEPOSITOS BANCARIOS - PRINCIPAL;0;REMUNERACAO DE DEPOSITOS BANCARIOS - PRINCIPAL;1;JUROS E CORRECOES MONETARIAS;0;JUROS E CORRECOES MONETARIAS;1;REMUNERACAO DE DEPOSITOS BANCARIOS;;;
2022;1011;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;1360.01.1.1.01.000;3;RECEITA PATRIMONIAL;1;RECEITAS CORRENTES;6;CESSAO DE DIREITOS;1;CESSAO DO DIREITO DE OPERACIONALIZACAO DE PAGAMENTOS - PRINCIPAL;1;CESSAO DO DIREITO DE OPERACIONALIZACAO DE PAGAMENTOS - PRINCIPAL - FOLHA DE PESSOAL;0;CESSAO DO DIREITO DE OPERACIONALIZACAO DE PAGAMENTOS - PRINCIPAL - FOLHA DE PESSOAL;0;CESSAO DE DIREITOS;1;CESSAO DO DIREITO DE OPERACIONALIZACAO DE PAGAMENTOS;1;CESSAO DO DIREITO DE OPERACIONALIZACAO DE PAGAMENTOS;;;
2022;1011;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;1922.99.1.1.99.000;9;OUTRAS RECEITAS CORRENTES;1;RECEITAS CORRENTES;2;INDENIZACOES, RESTITUICOES E RESSARCIMENTOS;1;OUTRAS RESTITUICOES - PRINCIPAL;99;OUTRAS RESTITUICOES - PRINCIPAL - DEMAIS;0;OUTRAS RESTITUICOES - PRINCIPAL - DEMAIS;2;RESTITUICOES;99;OUTRAS RESTITUICOES;1;OUTRAS RESTITUICOES;;;
2022;1011;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;1990.99.1.1.99.000;9;OUTRAS RECEITAS CORRENTES;1;RECEITAS CORRENTES;9;DEMAIS RECEITAS CORRENTES;1;OUTRAS RECEITAS - PRIMARIAS - PRINCIPAL;99;OUTRAS RECEITAS - PRIMARIAS - PRINCIPAL - DEMAIS;0;OUTRAS RECEITAS - PRIMARIAS - PRINCIPAL - DEMAIS;0;DEMAIS RECEITAS CORRENTES;99;OUTRAS RECEITAS;1;OUTRAS RECEITAS - PRIMARIAS;;;
2022;1021;TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;1321.00.1.1.01.000;3;RECEITA PATRIMONIAL;1;RECEITAS CORRENTES;2;VALORES MOBILIARIOS;1;REMUNERACAO DE DEPOSITOS BANCARIOS - PRINCIPAL;1;REMUNERACAO DE DEPOSITOS BANCARIOS - PRINCIPAL;0;REMUNERACAO DE DEPOSITOS BANCARIOS - PRINCIPAL;1;JUROS E CORRECOES MONETARIAS;0;JUROS E CORRECOES MONETARIAS;1;REMUNERACAO DE DEPOSITOS BANCARIOS;;;
2022;1021;TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;1922.06.1.1.01.999;9;OUTRAS RECEITAS CORRENTES;1;RECEITAS CORRENTES;2;INDENIZACOES, RESTITUICOES E RESSARCIMENTOS;1;RESTITUICAO DE DESPESAS DE EXERCICIOS ANTERIORES - PRINCIPAL;1;RESTITUICAO DE DESPESAS DE EXERCICIOS ANTERIORES - PRINCIPAL;999;RESTITUICAO DE DESPESAS DE EXERCICIOS ANTERIORES - PRINCIPAL - OUTROS;2;RESTITUICOES;6;RESTITUICAO DE DESPESAS DE EXERCICIOS ANTERIORES;1;RESTITUICAO DE DESPESAS DE EXERCICIOS ANTERIORES;;;
2022;1021;TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;1922.99.1.1.99.000;9;OUTRAS RECEITAS CORRENTES;1;RECEITAS CORRENTES;2;INDENIZACOES, RESTITUICOES E RESSARCIMENTOS;1;OUTRAS RESTITUICOES - PRINCIPAL;99;OUTRAS RESTITUICOES - PRINCIPAL - DEMAIS;0;OUTRAS RESTITUICOES - PRINCIPAL - DEMAIS;2;RESTITUICOES;99;OUTRAS RESTITUICOES;1;OUTRAS RESTITUICOES;;;
2022;1031;TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;1321.00.1.1.01.000;3;RECEITA PATRIMONIAL;1;RECEITAS CORRENTES;2;VALORES MOBILIARIOS;1;REMUNERACAO DE DEPOSITOS BANCARIOS - PRINCIPAL;1;REMUNERACAO DE DEPOSITOS BANCARIOS - PRINCIPAL;0;REMUNERACAO DE DEPOSITOS BANCARIOS - PRINCIPAL;1;JUROS E CORRECOES MONETARIAS;0;JUROS E CORRECOES MONETARIAS;1;REMUNERACAO DE DEPOSITOS BANCARIOS;;;
2022;1031;TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;1922.99.1.1.99.000;9;OUTRAS RECEITAS CORRENTES;1;RECEITAS CORRENTES;2;INDENIZACOES, RESTITUICOES E RESSARCIMENTOS;1;OUTRAS RESTITUICOES - PRINCIPAL;99;OUTRAS RESTITUICOES - PRINCIPAL - DEMAIS;0;OUTRAS RESTITUICOES - PRINCIPAL - DEMAIS;2;RESTITUICOES;99;OUTRAS RESTITUICOES;1;OUTRAS RESTITUICOES;;;
2022;1031;TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;1990.99.1.1.99.000;9;OUTRAS RECEITAS CORRENTES;1;RECEITAS CORRENTES;9;DEMAIS RECEITAS CORRENTES;1;OUTRAS RECEITAS - PRIMARIAS - PRINCIPAL;99;OUTRAS RECEITAS - PRIMARIAS - PRINCIPAL - DEMAIS;0;OUTRAS RECEITAS - PRIMARIAS - PRINCIPAL - DEMAIS;0;DEMAIS RECEITAS CORRENTES;99;OUTRAS RECEITAS;1;OUTRAS RECEITAS - PRIMARIAS;;;
2022;1051;TRIBUNAL DE JUSTICA MILITAR DO ESTADO DE MINAS GERAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;1321.00.1.1.01.000;3;RECEITA PATRIMONIAL;1;RECEITAS CORRENTES;2;VALORES MOBILIARIOS;1;REMUNERACAO DE DEPOSITOS BANCARIOS - PRINCIPAL;1;REMUNERACAO DE DEPOSITOS BANCARIOS - PRINCIPAL;0;REMUNERACAO DE DEPOSITOS BANCARIOS - PRINCIPAL;1;JUROS E CORRECOES MONETARIAS;0;JUROS E CORRECOES MONETARIAS;1;REMUNERACAO DE DEPOSITOS BANCARIOS;;;
2022;1051;TRIBUNAL DE JUSTICA MILITAR DO ESTADO DE MINAS GERAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;1360.01.1.1.01.000;3;RECEITA PATRIMONIAL;1;RECEITAS CORRENTES;6;CESSAO DE DIREITOS;1;CESSAO DO DIREITO DE OPERACIONALIZACAO DE PAGAMENTOS - PRINCIPAL;1;CESSAO DO DIREITO DE OPERACIONALIZACAO DE PAGAMENTOS - PRINCIPAL - FOLHA DE PESSOAL;0;CESSAO DO DIREITO DE OPERACIONALIZACAO DE PAGAMENTOS - PRINCIPAL - FOLHA DE PESSOAL;0;CESSAO DE DIREITOS;1;CESSAO DO DIREITO DE OPERACIONALIZACAO DE PAGAMENTOS;1;CESSAO DO DIREITO DE OPERACIONALIZACAO DE PAGAMENTOS;;;
2022;1051;TRIBUNAL DE JUSTICA MILITAR DO ESTADO DE MINAS GERAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;1610.01.1.1.13.000;6;RECEITA DE SERVICOS;1;RECEITAS CORRENTES;1;SERVICOS ADMINISTRATIVOS E COMERCIAIS GERAIS;1;SERVICOS ADMINISTRATIVOS E COMERCIAIS GERAIS - PRINCIPAL;13;SERVICOS ADMINISTRATIVOS E COMERCIAIS GERAIS - PRINCIPAL - FOTOCOPIAS E COPIAS HELIOGRAFICAS;0;SERVICOS ADMINISTRATIVOS E COMERCIAIS GERAIS - PRINCIPAL - FOTOCOPIAS E COPIAS HELIOGRAFICAS;0;SERVICOS ADMINISTRATIVOS E COMERCIAIS GERAIS;1;SERVICOS ADMINISTRATIVOS E COMERCIAIS GERAIS;1;SERVICOS ADMINISTRATIVOS E COMERCIAIS GERAIS;;;
2022;1051;TRIBUNAL DE JUSTICA MILITAR DO ESTADO DE MINAS GERAIS;60;RECURSOS DIRETAMENTE ARRECADADOS;1610.01.1.1.99.001;6;RECEITA DE SERVICOS;1;RECEITAS CORRENTES;1;SERVICOS ADMINISTRATIVOS E COMERCIAIS GERAIS;1;SERVICOS ADMINISTRATIVOS E COMERCIAIS GERAIS - PRINCIPAL;99;SERVICOS ADMINISTRATIVOS E COMERCIAIS GERAIS - PRINCIPAL - DEMAIS;1;SERVICOS ADMINISTRATIVOS E COMERCIAIS GERAIS - PRINCIPAL - DEMAIS - SERVICOS ADMINISTRATIVOS;0;SERVICOS ADMINISTRATIVOS E COMERCIAIS GERAIS;1;SERVICOS ADMINISTRATIVOS E COMERCIAIS GERAIS;1;SERVICOS ADMINISTRATIVOS E COMERCIAIS GERAIS;;;
