mes_ano_numerico;unidade_orcamentaria_codigo;unidade_orcamentaria_nome;classificacao_receita_formatado;origem_receita_codigo;origem_receita_descricao;unnamed_6;categoria_receita_codigo;categoria_receita_descricao;especie_receita_codigo;especie_receita_descricao;unnamed_11;tipo_receita_codigo;tipo_receita_descricao;unnamed_14;item_receita_codigo;item_receita_descricao;unnamed_17;subitem_receita_codigo;subitem_receita_descricao;unnamed_20;nivel_1_desdobramento_codigo;nivel_1_desdobramento_descricao;unnamed_23;nivel_2_desdobramento_codigo;nivel_2_desdobramento_descricao;unnamed_26;nivel_3_desdobramento_codigo;nivel_3_desdobramento_descricao;unnamed_29;valor_previsto_inicial;valor_previsto_atualizado;valor_contabilizado
01/2025;1011;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;1321.01.0.1.01.000;3;RECEITA PATRIMONIAL;;1;RECEITAS CORRENTES;2;VALORES MOBILIARIOS;;1;REMUNERACAO DEPOSITOS BANCARIOS - PRINCIPAL;;1;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;;0;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;;1;JUROS E CORRECOES MONETARIAS;;1;REMUNERACAO DE DEPOSITOS BANCARIOS;;0;REMUNERACAO DE DEPOSITOS BANCARIOS;;0;0;6174510,43
01/2025;1011;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;1361.01.1.1.01.000;3;RECEITA PATRIMONIAL;;1;RECEITAS CORRENTES;6;CESSAO DE DIREITOS;;1;CESSAO DIR. OPERAC. PAG. - PODERES EXECUTIVO LEGISLATIVO - PRINCIPAL;;1;CESSAO DIR. OPERAC. PAG. - PODERES EXECUTIVO LEGISLATIVO - PRINC. - FOLHA DE PESSOAL;;0;CESSAO DIR. OPERAC. PAG. - PODERES EXECUTIVO LEGISLATIVO - PRINC. - FOLHA DE PESSOAL;;1;CESSAO DE DIREITOS;;1;CESSAO DO DIREITO DE OPERACIONALIZACAO DE PAGAMENTOS;;1;CESSAO DO DIREITO DE OPERACIONALIZACAO DE PAGAMENTOS - PODERES EXECUTIVO E LEGISLATIVO;;0;0;63040,05
01/2025;1011;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;1922.99.0.1.99.000;9;OUTRAS RECEITAS CORRENTES;;1;RECEITAS CORRENTES;2;INDENIZACOES, RESTITUICOES E RESSARCIMENTOS;;1;OUTRAS RESTITUICOES - PRINCIPAL;;99;OUTRAS RESTITUICOES - PRINC. - DEMAIS;;0;OUTRAS RESTITUICOES - PRINC. - DEMAIS;;2;RESTITUICOES;;99;OUTRAS RESTITUICOES;;0;OUTRAS RESTITUICOES;;0;0;124639,14
01/2025;1011;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;1999.99.2.1.99.000;9;OUTRAS RECEITAS CORRENTES;;1;RECEITAS CORRENTES;9;DEMAIS RECEITAS CORRENTES;;1;OUTRAS REC. - PRIMARIAS - PRINCIPAL;;99;OUTRAS REC. - PRIMARIAS - PRINC. - DEMAIS;;0;OUTRAS REC. - PRIMARIAS - PRINC. - DEMAIS;;9;OUTRAS RECEITAS CORRENTES;;99;OUTRAS RECEITAS;;2;OUTRAS RECEITAS NAO ARRECADADAS E NAO PROJETADAS PELA RFB - PRIMARIAS;;0;0;48089,59
01/2025;1021;TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS;1321.01.0.1.01.000;3;RECEITA PATRIMONIAL;;1;RECEITAS CORRENTES;2;VALORES MOBILIARIOS;;1;REMUNERACAO DEPOSITOS BANCARIOS - PRINCIPAL;;1;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;;0;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;;1;JUROS E CORRECOES MONETARIAS;;1;REMUNERACAO DE DEPOSITOS BANCARIOS;;0;REMUNERACAO DE DEPOSITOS BANCARIOS;;0;0;0,0
01/2025;1021;TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS;1922.06.3.1.99.000;9;OUTRAS RECEITAS CORRENTES;;1;RECEITAS CORRENTES;2;INDENIZACOES, RESTITUICOES E RESSARCIMENTOS;;1;RESTITUICAO DESPESAS PRIMARIAS EXERCICIOS ANTERIORES - PRINCIPAL;;99;RESTITUICAO DESPESAS PRIMARIAS EXERCICIOS ANTERIORES - PRINC. - DEMAIS;;0;RESTITUICAO DESPESAS PRIMARIAS EXERCICIOS ANTERIORES - PRINC. - DEMAIS;;2;RESTITUICOES;;6;RESTITUICAO DE DESPESAS DE EXERCICIOS ANTERIORES;;3;RESTITUICAO DE DESPESAS PRIMARIAS DE EXERCICIOS ANTERIORES;;0;0;126788,64
01/2025;1031;TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS;1321.01.0.1.01.000;3;RECEITA PATRIMONIAL;;1;RECEITAS CORRENTES;2;VALORES MOBILIARIOS;;1;REMUNERACAO DEPOSITOS BANCARIOS - PRINCIPAL;;1;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;;0;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;;1;JUROS E CORRECOES MONETARIAS;;1;REMUNERACAO DE DEPOSITOS BANCARIOS;;0;REMUNERACAO DE DEPOSITOS BANCARIOS;;0;0;15648683,08
01/2025;1031;TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS;1922.99.0.1.99.000;9;OUTRAS RECEITAS CORRENTES;;1;RECEITAS CORRENTES;2;INDENIZACOES, RESTITUICOES E RESSARCIMENTOS;;1;OUTRAS RESTITUICOES - PRINCIPAL;;99;OUTRAS RESTITUICOES - PRINC. - DEMAIS;;0;OUTRAS RESTITUICOES - PRINC. - DEMAIS;;2;RESTITUICOES;;99;OUTRAS RESTITUICOES;;0;OUTRAS RESTITUICOES;;0;0;22075,19
01/2025;1031;TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS;1999.99.2.1.99.000;9;OUTRAS RECEITAS CORRENTES;;1;RECEITAS CORRENTES;9;DEMAIS RECEITAS CORRENTES;;1;OUTRAS REC. - PRIMARIAS - PRINCIPAL;;99;OUTRAS REC. - PRIMARIAS - PRINC. - DEMAIS;;0;OUTRAS REC. - PRIMARIAS - PRINC. - DEMAIS;;9;OUTRAS RECEITAS CORRENTES;;99;OUTRAS RECEITAS;;2;OUTRAS RECEITAS NAO ARRECADADAS E NAO PROJETADAS PELA RFB - PRIMARIAS;;0;0;0,0
01/2025;1051;TRIBUNAL DE JUSTICA MILITAR DO ESTADO DE MINAS GERAIS;1321.01.0.1.01.000;3;RECEITA PATRIMONIAL;;1;RECEITAS CORRENTES;2;VALORES MOBILIARIOS;;1;REMUNERACAO DEPOSITOS BANCARIOS - PRINCIPAL;;1;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;;0;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;;1;JUROS E CORRECOES MONETARIAS;;1;REMUNERACAO DE DEPOSITOS BANCARIOS;;0;REMUNERACAO DE DEPOSITOS BANCARIOS;;0;0;110611,02
