ano_de_exercicio;unidade_orcamentaria_codigo;unidade_orcamentaria_nome;classificacao_receita_formatado;categoria_receita_codigo;categoria_receita_descricao;especie_receita_codigo;especie_receita_descricao;unnamed_8;tipo_receita_codigo;tipo_receita_descricao;unnamed_11;item_receita_codigo;item_receita_descricao;unnamed_14;nivel_1_desdobramento_codigo;nivel_1_desdobramento_descricao;unnamed_17;nivel_3_desdobramento_codigo;nivel_3_desdobramento_descricao;unnamed_20;valor_previsto_inicial;valor_contabilizado
2026;1011;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;1321.01.0.1.01.000;1;RECEITAS CORRENTES;2;VALORES MOBILIARIOS;;1;REMUNERACAO DEPOSITOS BANCARIOS - PRINCIPAL;;1;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;;1;JUROS E CORRECOES MONETARIAS;;0;REMUNERACAO DE DEPOSITOS BANCARIOS;;0;14656604,05
2026;1011;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;1361.01.1.1.01.000;1;RECEITAS CORRENTES;6;CESSAO DE DIREITOS;;1;CESSAO DIR. OPERAC. PAG. - PODERES EXECUTIVO LEGISLATIVO - PRINCIPAL;;1;CESSAO DIR. OPERAC. PAG. - PODERES EXECUTIVO LEGISLATIVO - PRINC. - FOLHA DE PESSOAL;;1;CESSAO DE DIREITOS;;1;CESSAO DO DIREITO DE OPERACIONALIZACAO DE PAGAMENTOS - PODERES EXECUTIVO E LEGISLATIVO;;0;195935,74
2026;1011;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;1922.99.0.1.99.000;1;RECEITAS CORRENTES;2;INDENIZACOES, RESTITUICOES E RESSARCIMENTOS;;1;OUTRAS RESTITUICOES - PRINCIPAL;;99;OUTRAS RESTITUICOES - PRINC. - DEMAIS;;2;RESTITUICOES;;0;OUTRAS RESTITUICOES;;0;204389,03
2026;1011;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;1999.99.2.1.99.000;1;RECEITAS CORRENTES;9;DEMAIS RECEITAS CORRENTES;;1;OUTRAS REC. - PRIMARIAS - PRINCIPAL;;99;OUTRAS REC. - PRIMARIAS - PRINC. - DEMAIS;;9;OUTRAS RECEITAS CORRENTES;;2;OUTRAS RECEITAS NAO ARRECADADAS E NAO PROJETADAS PELA RFB - PRIMARIAS;;0;147063,84
2026;1021;TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS;1321.01.0.1.01.000;1;RECEITAS CORRENTES;2;VALORES MOBILIARIOS;;1;REMUNERACAO DEPOSITOS BANCARIOS - PRINCIPAL;;1;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;;1;JUROS E CORRECOES MONETARIAS;;0;REMUNERACAO DE DEPOSITOS BANCARIOS;;0;6170959,36
2026;1021;TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS;1922.06.3.1.99.000;1;RECEITAS CORRENTES;2;INDENIZACOES, RESTITUICOES E RESSARCIMENTOS;;1;RESTITUICAO DESPESAS PRIMARIAS EXERCICIOS ANTERIORES - PRINCIPAL;;99;RESTITUICAO DESPESAS PRIMARIAS EXERCICIOS ANTERIORES - PRINC. - DEMAIS;;2;RESTITUICOES;;3;RESTITUICAO DE DESPESAS PRIMARIAS DE EXERCICIOS ANTERIORES;;0;327234,66
2026;1021;TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS;1922.99.0.1.99.000;1;RECEITAS CORRENTES;2;INDENIZACOES, RESTITUICOES E RESSARCIMENTOS;;1;OUTRAS RESTITUICOES - PRINCIPAL;;99;OUTRAS RESTITUICOES - PRINC. - DEMAIS;;2;RESTITUICOES;;0;OUTRAS RESTITUICOES;;0;152,59
2026;1031;TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS;1321.01.0.1.01.000;1;RECEITAS CORRENTES;2;VALORES MOBILIARIOS;;1;REMUNERACAO DEPOSITOS BANCARIOS - PRINCIPAL;;1;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;;1;JUROS E CORRECOES MONETARIAS;;0;REMUNERACAO DE DEPOSITOS BANCARIOS;;0;40151949,23
2026;1031;TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS;1922.99.0.1.99.000;1;RECEITAS CORRENTES;2;INDENIZACOES, RESTITUICOES E RESSARCIMENTOS;;1;OUTRAS RESTITUICOES - PRINCIPAL;;99;OUTRAS RESTITUICOES - PRINC. - DEMAIS;;2;RESTITUICOES;;0;OUTRAS RESTITUICOES;;0;42781,4
2026;1031;TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS;1999.99.2.1.99.000;1;RECEITAS CORRENTES;9;DEMAIS RECEITAS CORRENTES;;1;OUTRAS REC. - PRIMARIAS - PRINCIPAL;;99;OUTRAS REC. - PRIMARIAS - PRINC. - DEMAIS;;9;OUTRAS RECEITAS CORRENTES;;2;OUTRAS RECEITAS NAO ARRECADADAS E NAO PROJETADAS PELA RFB - PRIMARIAS;;0;2598,74
